,artist_name,track_name,song_no
11,Temples,Certainty,11
34,Unknown Mortal Orchestra,Multi-Love,34
35,Unknown Mortal Orchestra,So Good at Being in Trouble,35
45,N.W.A,Straight Outta Compton,45
47,Sublime,Santeria,47
53,Vanilla Ice,Ice Ice Baby,53
57,Kenny Loggins,Footloose,57
64,The Notorious B.I.G.,Big Poppa,64
70,The 1975,Somebody Else,70
73,Nick Jonas,Close,73
79,Mumford & Sons,Snake Eyes,79
88,Mika,Love Today,88
96,ZZ Top,Gimme All Your Lovin',96
98,Echosmith,Bright,98
102,Ace of Base,The Sign,102
105,Evanescence,Call Me When You're Sober,105
108,The Beatles,If I Fell,108
109,Gwen Stefani,What You Waiting For?,109
111,Avril Lavigne,Complicated,111
115,Marcy Playground,Sex and Candy,115
116,Bruce Springsteen,Dancing in the Dark,116
118,Marina & the Diamonds,Primadonna,118
119,Marina & the Diamonds,Forget,119
134,The All-American Rejects,Gives You Hell,136
138,Of Monsters and Men,King and Lionheart,140
144,Adele,Skyfall,146
154,Tycho,Elegy,156
158,Souls of Mischief,93 'til Infinity,160
172,Animal Collective,Summertime Clothes,174
187,Aesop Rock,Rings,189
218,Bring Me the Horizon,Happy Song,220
219,Bring Me the Horizon,Doomed,221
225,Aerosmith,Walk This Way,227
237,Elliott Smith,Alameda,239
246,Warpaint,Don't Let Go,249
287,Fever Ray,Keep the Streets Empty for Me,291
289,The Bangles,Walk Like An Egyptian,293
291,The Head and the Heart,Lost In My Mind,295
317,Nick Cave & The Bad Seeds,Magneto,321
319,Bonobo,Kiara,323
324,Childish Gambino,Sober,328
335,Jamie xx,The Rest Is Noise,339
338,Nine Inch Nails,Sanctified,342
339,Godspeed You! Black Emperor,the dead flag blues,343
357,Animal Collective,Lion in a Coma,361
375,The Smashing Pumpkins,Today,379
402,CHVRCHES,Make Them Gold,411
412,Major Lazer,Lean On (feat. MØ & DJ Snake),421
413,Post Malone,Congratulations,422
415,Post Malone,Go Flex,424
423,Spin Doctors,Two Princes,432
444,Crazy Town,Butterfly,454
445,Boards of Canada,Dandelion,455
454,Arcade Fire,In the Backseat,464
456,Shawn Mendes,I Know What You Did Last Summer,466
457,A Perfect Circle,Pet,467
471,Lady Gaga,G.U.Y.,482
477,Dwayne Johnson,You're Welcome,488
511,Burial,Untitled,523
552,Clark,Peak Magnetic,564
563,Mac DeMarco,The Way You'd Love Her,575
564,Mount Eerie,Forest Fire,576
601,Nick Cave & The Bad Seeds,Distant Sky,613
651,Sia,Breathe Me,663
661,Drake,One Dance (feat. Wizkid & Kyla),673
685,Galantis,No Money,697
693,Populous,Bon Bon Pour Les Rappers,706
699,Lady Gaga,Bad Romance,712
711,Kanye West,Highlights,724
712,Kanye West,Waves,725
725,Post Malone,Congratulations (feat. Quavo),738
755,The Jackson 5,ABC,769
769,Michael Jackson,The Girl Is Mine,783
785,Flume,Free,799
789,Skepta,Man,803
800,The Verve,Bitter Sweet Symphony,814
810,Led Zeppelin,Stairway to Heaven,824
814,Arctic Monkeys,Why'd You Only Call Me When You're High?,828
815,Arctic Monkeys,You Probably Couldn't See for the Lights but You Were Staring Straight at Me,829
820,The Rolling Stones,Just Your Fool,834
822,A Tribe Called Quest,Excursions,836
823,Red Hot Chili Peppers,Otherside,837
825,Weezer,Thank God for Girls,839
851,Ghost,From the Pinnacle to the Pit,865
852,Ghost,Missionary Man,866
854,Mastodon,Show Yourself,868
873,Queens of the Stone Age,Domesticated Animals,888
875,Oh Wonder,Body Gold,890
877,Tame Impala,Why Won't They Talk To Me?,892
922,Ride,Vapour Trail,940
924,Frank Ocean,Thinkin Bout You,942
935,Frankie Cosmos,Young,953
939,Coldplay,Adventure Of A Lifetime,957
956,Metallica,Spit Out the Bone,974
957,Metallica,Hardwired,975
966,Ghost,He Is,985
967,Ghost,Mummy Dust,986
968,Ghost,Bible,987
989,Opeth,Sorceress,1009
992,Madeon,You're On,1012
993,Justice,Safe And Sound,1013
994,CHVRCHES,Keep You On My Side,1014
